cd	track	track_title	recording_title	chorale	recording_id		cd	track	title	bwv	text		playlist_position	Song	Artist	Popularity	BPM	Genres	Album	Album Date	Time	Dance	Energy	Acoustic	Instrumental	Happy	Speech	Live	Loud (Db)	Key	Time Signature	Added At	Spotify Track Id	Album Label	Camelot	ISRC
5	1	Ach bleib bei uns, Herr Jesu Christ BWV253	Ach bleib bei uns, Herr Jesu Christ, BWV 253	1	688b2af6-8cbd-487c-bfb8-b36a6517dfc5		2	101	Ach bleib bei uns, Herr Jesu Christ	253	Ach bleib bei uns, Herr Jesu Christ		203	Ach bleib bei uns, Herr Jesu Christ, BWV 253	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	1	71	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 2/3	2011-00-00	00:45	13	2	99	2	22	0	10	-26	G#/A♭ Major	3	2024-07-26	3uw0vLx9Q0bdD3D53A2hoO	undefined	4B	NLY331107239
5	2	Ach Gott, erhör. mein Seufzen! BWV254	Ach Gott, erhör' mein Seufzen!, BWV 254	2	3ddc5341-a4b8-4124-a9bd-4f7da057bf8a		2	102	Ach Gott, erhör' mein Seufzen!	254	Ach Gott, erhör' mein Seufzen!		204	Ach Gott, erhör' mein Seufzen!, BWV 254	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	0	80	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 2/3	2011-00-00	00:46	23	13	87	99	34	0	10	-21	C♯/D♭ Minor	3	2024-07-26	3HBDYXXDVWjQfKlGMcp0Mu	undefined	12A	NLY331107240
5	3	Ach Gott und Herr BWV255	Ach Gott und Herr, BWV 255	3	bd76aab5-038c-40d5-a878-862862fab963		3	1	Ach Gott und Herr	255	Ach Gott und Herr		205	Ach Gott und Herr, BWV 255	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	4	80	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 3/3	2011-00-00	00:36	28	13	94	8	32	0	10	-18	F#/G♭ Major	4	2024-07-26	6Fcr1DvpcOaOKNss0AIqZg	undefined	2B	NLY331107241
5	4	Ach Gott, vom Himmel sieh. darein (Cantata BWV153)	Ach Gott, vom Himmel sieh' darein, Cantata BWV 153	5	800bbab5-df54-456b-b7f9-c49508e325f6		3	2	Ach Gott, vom Himmel sieh' darein	153	Ach Gott, vom Himmel sieh' darein		206	Ach Gott, vom Himmel sieh' darein (Cantata, BWV 153)	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	1	82	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 3/3	2011-00-00	00:52	26	20	97	0	50	0	30	-17	G#/A♭ Minor	4	2024-07-26	5pyaL5Dv4mNzlqQdoNvEWL	undefined	1A	NLY331107242
4	1	Ach Gott, vom Himmel sieh. darein (Cantata BWV2)	Ach Gott, vom Himmel sieh' darein, Cantata BWV 2	7	63347767-8bd5-4f11-9c1a-42ee65125b00		2	44	Ach Gott, vom Himmel sieh' darein	2	Ach Gott, vom Himmel sieh' darein		146	Ach Gott, vom Himmel sieh' darein (Cantata, BWV 2)	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	1	78	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 2/3	2011-00-00	01:46	27	13	96	0	33	0	10	-20	B Minor	4	2024-07-26	1fKptPS3ovYWGSx2fqYKBH	undefined	10A	NLY331107182
5	5	Ach Gott, wie manches Herzeleid (Cantata BWV3)	Ach Gott, wie manches Herzeleid, Cantata BWV 3	8	6160795c-eb7e-4b9f-b193-6e84474f28ae		3	3	Ach Gott, wie manches Herzeleid	3	Ach Gott, wie manches Herzeleid		207	Ach Gott, wie manches Herzeleid (Cantata, BWV 3)	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	1	74	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 3/3	2011-00-00	01:06	26	11	98	0	35	0	10	-22	D#/E♭ Major	3	2024-07-26	26NxTpV5MyOWyT7RpLNjLg	undefined	5B	NLY331107243
4	2	Ach Gott, wie manches Herzeleid (Cantata BWV153)	Ach Gott, wie manches Herzeleid, Cantata BWV 153	9	b86966fe-5f36-4ad3-8ef9-5f3e5b05debe		2	45	Ach Gott, wie manches Herzeleid	153	Ach Gott, wie manches Herzeleid		147	Ach Gott, wie manches Herzeleid (Cantata, BWV 153)	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	1	83	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 2/3	2011-00-00	01:22	25	12	95	0	50	0	10	-18	F#/G♭ Major	4	2024-07-26	1SubUnJ5ksxUjprZ9drFJM	undefined	2B	NLY331107183
5	6	Ach, was soll ich Sünder machen BWV259	Ach, was soll ich Sünder machen, BWV 259	10	67de9b8d-6588-45fc-9bb7-c0a042ed4194		3	4	Ach, was soll ich Sünder machen	259	Ach, was soll ich Sünder machen		208	Ach, was soll ich Sünder machen, BWV 259	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	1	82	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 3/3	2011-00-00	00:48	29	15	98	0	26	0	10	-16	F#/G♭ Major	4	2024-07-26	2dLsvDQMZA7JssefLIZQWS	undefined	2B	NLY331107244
3	32	Allein Gott in der Höh. sei Ehr. BWV260	Allein Gott in der Höh' sei Ehr', BWV 260	12	ac02e145-c51c-423c-a6fb-dcae1f1952ae		2	34	Allein Gott in der Höh' sei Ehr'	260	Allein Gott in der Höh' sei Ehr'		136	Allein Gott in der Höh' sei Ehr', BWV 260	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	1	83	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 2/3	2011-00-00	00:50	29	19	90	0	46	0	10	-18	F#/G♭ Major	4	2024-07-26	0Q4VCHjXO1BcvrvpjgY0OF	undefined	2B	NLY331107172
5	7	Allein zu dir, Herr Jesu Christ BWV261	Allein zu dir, Herr Jesu Christ, BWV 261	15	97d6648b-e288-4e83-bf9d-d14949c355c3		3	5	Allein zu dir, Herr Jesu Christ	261	Allein zu dir, Herr Jesu Christ		209	Allein zu dir, Herr Jesu Christ, BWV 261	Johann Sebastian Bach,Chamber Choir Of Europe,Nicol Matt	2	81	classical, classical piano, choral, requiem	Choral Classics: Bach (Chorales), Vol. 3/3	2011-00-00	01:28	17	13	95	0	30	0	10	-19	C♯/D♭ Major	3	2024-07-26	3KUoqXW1CWaOGnSIxwZgN7	undefined	3B	NLY331107245
